output_row,input,source_column,gloss,plural_theme,singular_theme
8,gʃrar,analysisPluralTheme,balance (tool),gʃrar,gʃrir
9,χʷsmar,analysisPluralTheme,beardless chin,χʷsmar,χʷsmar
10,lħsab,analysisPluralTheme,calculation,lħsab,lħsab
11,ktatbi,analysisPluralTheme,activity of a public writer,ktatbi,ktatbi
42,skazzaj,analysisPluralTheme,screeching,skazzaj,skazzaj
45,guriw,analysisPluralTheme,oversize,guriw,guri
48,sksal,analysisPluralTheme,type of window,sksal,sksl
49,smkal,analysisPluralTheme,food container,smkal,smkl
50,mʕʃʃr,analysisPluralTheme,"fellow, companion",mʕʃʃr,mʕʃʃr
51,gʒdr,analysisPluralTheme,nonsense,gʒdr,
52,ssnda,analysisPluralTheme,wooden shaker of a wineskin for churning milk (for butter),ssnda,ssndu
54,!frziz,analysisPluralTheme,gourd,!frziz,!frziz
55,aʒʒgal,analysisPluralTheme,kind of bag or satchel,aʒʒgal,aʒʒgal
56,kʷntar,analysisPluralTheme,goat,kʷntar,kntur
57,sbbab,analysisPluralTheme,person who helps with birth,sbbab,sbbab
59,!ʃbar,analysisPluralTheme,promontory dominating a locality,!ʃbar,!ʃbar
60,ussif,analysisPluralTheme,splinter,ussif,ussif
61,uzlim,analysisPluralTheme,scissors,uzlim,uzlim
62,msijjs,analysisPluralTheme,tamer,msijjs,msijjs
63,!ʃbura,analysisPluralTheme,a kind of plant,!ʃbura,!ʃbaru
64,ħbari,analysisPluralTheme,type of horse,ħbari,ħbari
65,ndura,analysisPluralTheme,someone who shares a meal,ndura,ndaru
67,sutam,analysisPluralTheme,niche,sutam,satm
69,!mazuz,analysisPluralTheme,grown late in the agricultural year,!mazuz,!mazuz
70,gʷilal,analysisPluralTheme,kind of horse with long mane (foal),gʷilal,gʷilal
71,kʷndrras,analysisPluralTheme,"giblets, salted and dried",kʷndrras,kʷndrris
73,stara,analysisPluralTheme,"chords (music), musical preamble",stara,stara
74,nrbay,analysisPluralTheme,given birth,nrbay,nrbi
76,msaʁ,analysisPluralTheme,buyer,msaʁ,msaʁ
79,skkir,analysisPluralTheme,"act, attitude",skkir,skkir
80,!mʕʃur,analysisPluralTheme,actor carnival,!mʕʃur,!mʕʃur
83,ukkim,analysisPluralTheme,beating,ukkim,ukkim
85,arrag,analysisPluralTheme,act of breaking,arrag,arrag
86,baks,analysisPluralTheme,act of girding,baks,biks
87,addal,analysisPluralTheme,"act of covering, shawl",addal,addal
98,draw,analysisPluralTheme,act of eating in community,draw,draw
100,smal,analysisPluralTheme,act of showing,smal,smal
101,!zid,analysisPluralTheme,"act of grinding, ground grain",!zid,!zid
102,ʃtibbiʃ,analysisPluralTheme,act of wading,ʃtibbiʃ,ʃtibbʃ
107,mmussut,analysisPluralTheme,act of stirring,mmussut,mmussu
108,skubbr,analysisPluralTheme,act of squatting,skubbr,skubbr
114,ʒgugal,analysisPluralTheme,act of suspending ...,ʒgugal,ʒgugl
115,!suda,analysisPluralTheme,"action of blowing (pejorative), anus (by metonymy)",!suda,!sud
116,sram,analysisPluralTheme,act of sharpening,sram,sram
125,mχznaj,analysisPluralTheme,enforcement officer (mokhazni),mχznaj,mχzni
126,lqqaʕ,analysisPluralTheme,lamb,lqqaʕ,lqqaʕ
127,ʕwin,analysisPluralTheme,aid,ʕwin,ʕwin
129,gidar,analysisPluralTheme,"eagle, hawk",gidar,gidr
132,ssgna(j),analysisPluralTheme,needle,ssgna(j),ssgni
136,suqqas,analysisPluralTheme,sting,suqqas,saqqʷs
138,farr(a),analysisPluralTheme,wing,farr(a),fr
139,fraw,analysisPluralTheme,"leaf, wing",fraw,fr
140,nrar,analysisPluralTheme,area,nrar,nrar
141,luqqid,analysisPluralTheme,match,luqqid,luqqid
142,!lʕjad,analysisPluralTheme,lark,!lʕjad,!lʕjud
143,illwaz,analysisPluralTheme,almond,illwaz,alluz
144,ħbib,analysisPluralTheme,lover,ħbib,ħbib
145,hwawi,analysisPluralTheme,lover of music and singing,hwawi,hwawi
147,mddakkal,analysisPluralTheme,friend,mddakkal,mddakkʷl
151,lbbiʁ,analysisPluralTheme,bulb (skin irritant),lbbiʁ,lbbiʁ
153,rggim,analysisPluralTheme,"curse, insult",rggim,rggim
154,qdim,analysisPluralTheme,old,qdim,qdim
155,ʁʷjjal,analysisPluralTheme,donkey,ʁʷjjal,ʁjjul
156,!azʁiw,analysisPluralTheme,angina,!azʁiw,!azʁa
157,χlχal,analysisPluralTheme,ring,χlχal,χlχal
158,sggʷas,analysisPluralTheme,year,sggʷas,sggʷas
161,mgrad,analysisPluralTheme,"tamed, domesticated",mgrad,mgrud
164,aʕrab,analysisPluralTheme,Arabic,aʕrab,aʕrab
166,qarid,analysisPluralTheme,money,qarid,qarid
170,snas,analysisPluralTheme,non-adult donkey,snas,snus
172,mʃʃrk,analysisPluralTheme,partner,mʃʃrk,mʃʃrk
173,ʃrik,analysisPluralTheme,partner,ʃrik,ʃrik
174,nkraf,analysisPluralTheme,"attached, hampered",nkraf,nkruf
175,!nbbursa,analysisPluralTheme,person suffering from depigmentation of the skin (vitiligo),!nbbursa,!nbbarsu
176,ziwal,analysisPluralTheme,person suffering from strabismus,ziwal,ziwal
177,sdas,analysisPluralTheme,trough,sdas,sds
178,!lfttr,analysisPluralTheme,alms given at Eid al-Fitr (Festival of sweets),!lfttr,!lfttr
179,!ʃʃuħar,analysisPluralTheme,miser,!ʃʃuħar,!ʃʃaħur
180,!bukad,analysisPluralTheme,blind person,!bukad,!bukad
183,duk(a),analysisPluralTheme,slipper,duk(a),duku
184,arras,analysisPluralTheme,broom,arras,arras
185,alaj,analysisPluralTheme,broom,alaj,alaj
186,ʒgugal,analysisPluralTheme,"swing, hammock, cradle",ʒgugal,ʒgugl
188,kur,analysisPluralTheme,ball,kur,kur
189,ukris,analysisPluralTheme,bundle,ukris,ukris
191,grw(a),analysisPluralTheme,tub,grw(a),gra
192,imariw,analysisPluralTheme,beard,imariw,amar
193,!ʃnad,analysisPluralTheme,hinny,!ʃnad,!ʃnid
194,!brhuʃ,analysisPluralTheme,motley,!brhuʃ,!brhuʃ
195,!krkad,analysisPluralTheme,motley,!krkad,!krkad
196,ʁrruba,analysisPluralTheme,small boat,ʁrruba,ʁrrabu
197,!burka,analysisPluralTheme,barque,!burka,!barku
199,!barrat,analysisPluralTheme,tail (piece of clothing),!barrat,!barra
200,!bannat,analysisPluralTheme,tail (piece of clothing),!bannat,!banna
201,frwal,analysisPluralTheme,tails (piece of clothing),frwal,frwal
202,ħlajs,analysisPluralTheme,pack,ħlajs,ħlajs
203,ħħram,analysisPluralTheme,"bastard, scoundrel ...",ħħram,ħħram
204,kuraj,analysisPluralTheme,stick,kuraj,kuraj
205,!χʷbbat,analysisPluralTheme,bat,!χʷbbat,!χʷbbat
206,suff,analysisPluralTheme,"balloon, cavity formed by an intestine",suff,suff
207,bʒʒaq,analysisPluralTheme,"talkative, snob",bʒʒaq,bʒʒaq
208,lddaj,analysisPluralTheme,slime,lddaj,lddaj
209,mrmur,analysisPluralTheme,slime,mrmur,mrmur
210,falkaj,analysisPluralTheme,beautiful,falkaj,falkaj
211,rbib,analysisPluralTheme,"son-in-law, daughter-in-law",rbib,rbib
213,ʁʷnzar,analysisPluralTheme,beak,ʁʷnzar,ʁnzur
214,!frjad,analysisPluralTheme,"harelip, cleft lip",!frjad,!frjad
215,qaddim,analysisPluralTheme,spade,qaddim,qaddim
216,!grwaz,analysisPluralTheme,person who lisps,!grwaz,!grwaz
217,tmtam,analysisPluralTheme,stutterer,tmtam,tmtam
218,tftaf,analysisPluralTheme,undecided,tftaf,tftaf
219,zammar,analysisPluralTheme,ram,zammar,zimmr
220,ħuli,analysisPluralTheme,ram,ħuli,ħuli
221,mrdij,analysisPluralTheme,blessed,mrdij,mrdi
222,mbarkij,analysisPluralTheme,blessed,mbarkij,mbarki
225,mksaw,analysisPluralTheme,shepherd,mksaw,mksa
226,bidan,analysisPluralTheme,can,bidan,bidun
227,bzga,analysisPluralTheme,jewel,bzga,bzg
228,sgdal,analysisPluralTheme,chopping block,sgdal,sgdl
229,umlil,analysisPluralTheme,white,umlil,umlil
231,ird,analysisPluralTheme,wheat,ird,ird
233,mugas,analysisPluralTheme,injured,mugas,magus
234,iggas,analysisPluralTheme,injury,iggas,iggs
235,aggas,analysisPluralTheme,injury,aggas,aggas
236,mraz,analysisPluralTheme,head injury,mraz,mraz
237,ʃhbun,analysisPluralTheme,blond,ʃhbun,ʃhbun
238,zgra,analysisPluralTheme,beef,zgra,zgr
239,funas,analysisPluralTheme,beef,funas,funas
240,ssrʁut,analysisPluralTheme,firewood,ssrʁut,ssrʁu
242,!bidar,analysisPluralTheme,lame,!bidar,!bidar
244,ariw,analysisPluralTheme,edge,ariw,ir
245,mknuna,analysisPluralTheme,hunchback,mknuna,mknanu
246,nkʷr(a),analysisPluralTheme,goat,nkʷr(a),nkkur
247,krwa,analysisPluralTheme,goat,krwa,kru
248,!aʁad,analysisPluralTheme,goat,!aʁad,!aʁad
249,bukir,analysisPluralTheme,goat,bukir,bukir
250,imaw,analysisPluralTheme,mouth,imaw,imi
251,gzzar,analysisPluralTheme,butcher,gzzar,gzzar
252,suqqan,analysisPluralTheme,plug,suqqan,saqqun
254,!blza,analysisPluralTheme,mud,!blza,!bluz
255,allaʁ,analysisPluralTheme,mud,allaʁ,allaʁ
256,flufut,analysisPluralTheme,"bubbling, foaming",flufut,flufu
257,iʕbbad,analysisPluralTheme,pellet,iʕbbad,ʕbbud
258,!bggar,analysisPluralTheme,"herdsman, cowherd",!bggar,!bggar
259,mugaj,analysisPluralTheme,cattle,mugaj,mugaj
260,!sħurrut,analysisPluralTheme,braying,!sħurrut,!sħurru
261,!sskkid,analysisPluralTheme,branch (of a tree),!sskkid,!sskkid
262,iʁal,analysisPluralTheme,"arm, bent",iʁal,iʁil
263,lgumma,analysisPluralTheme,flange,lgumma,lgammu
264,!qttaʕ,analysisPluralTheme,"brigand, bandit",!qttaʕ,!qttaʕ
266,!mħrag,analysisPluralTheme,burnt,!mħrag,!mħrug
267,ħrrig,analysisPluralTheme,"burning, sharp pain",ħrrig,ħrrig
268,ʃddir,analysisPluralTheme,"bush, thicket",ʃddir,ʃddir
269,slħam,analysisPluralTheme,burnous,slħam,slħam
270,χnifa,analysisPluralTheme,burnous,χnifa,χnif
271,χidas,analysisPluralTheme,burnous,χidas,χidus
273,gʒdmmar,analysisPluralTheme,parched cactus,gʒdmmar,gʒdmmur
274,!bbandriw,analysisPluralTheme,cockroach,!bbandriw,!bbindr
275,lkʷnnaʃ,analysisPluralTheme,notebook,lkʷnnaʃ,lkʷnnaʃ
276,!ħttid,analysisPluralTheme,clot,!ħttid,!ħttid
277,ħzzar,analysisPluralTheme,cajolery,ħzzar,ħzzar
278,ħsasbi,analysisPluralTheme,"calculating, scheming person",ħsasbi,ħsasbi
279,ʕkkaz,analysisPluralTheme,cane,ʕkkaz,ʕkkaz
280,qʷlm(a),analysisPluralTheme,cap,qʷlm(a),qlmun
282,qllal,analysisPluralTheme,"carafe, head (pejorative).",qllal,qllal
283,!mʃd,analysisPluralTheme,card,!mʃd,!mʃd
284,qrʃal,analysisPluralTheme,card,qrʃal,qrʃal
285,!kadiw,analysisPluralTheme,carob tree,!kadiw,!kid
286,uzuna,analysisPluralTheme,square of cultivated land,uzuna,uzun
287,ʒʒlliʒ,analysisPluralTheme,tile,ʒʒlliʒ,ʒʒlliʒ
288,muzzar,analysisPluralTheme,cascade,muzzar,mazzr
289,mrrag,analysisPluralTheme,"breaker (e.g., stone breaker)",mrrag,mrrag
290,msnaj,analysisPluralTheme,horse rider,msnaj,msnaj
291,mnaj,analysisPluralTheme,horse rider,mnaj,mnaj
292,!mkrad,analysisPluralTheme,what or who is scratched,!mkrad,mkrud
294,bakks,analysisPluralTheme,belt,bakks,bikks
295,uggas,analysisPluralTheme,belt,uggas,aggʷs
296,ʕzraj,analysisPluralTheme,single,ʕzraj,ʕzri
297,bʃʃar,analysisPluralTheme,one who announces ...,bʃʃar,bʃʃar
298,msgillit,analysisPluralTheme,one who swears,msgillit,msgilli
299,mgillit,analysisPluralTheme,one who swears,mgillit,mgilli
300,mrgʷal,analysisPluralTheme,one that locks,mrgʷal,mrgul
302,uʃʃan,analysisPluralTheme,jackal,uʃʃan,uʃʃn
303,mlħaf,analysisPluralTheme,shawl,mlħaf,mlħaf
305,ħuna,analysisPluralTheme,room,ħuna,ħanu
306,!rʕm(a),analysisPluralTheme,camel,!rʕm(a),!rʕm
307,rffak,analysisPluralTheme,chamel driver,rffak,rffak
308,igra,analysisPluralTheme,field,igra,igr
309,gʷrsal,analysisPluralTheme,mushroom,gʷrsal,gʷrsl
310,urar,analysisPluralTheme,"singing, song",urar,urar
311,murag,analysisPluralTheme,"singing, poetry",murag,marg
312,marir,analysisPluralTheme,singer,marir,marir
313,mtʃa,analysisPluralTheme,weevil,mtʃa,mtʃi
315,awggat,analysisPluralTheme,"load, burden (like carrying wood)",awggat,awgga
317,skraz,analysisPluralTheme,plow,skraz,skrz
318,wwulla,analysisPluralTheme,plow,wwulla,wwullu
321,ngʷmar,analysisPluralTheme,hunter,ngʷmar,ngʷmar
322,!sjjad,analysisPluralTheme,"hunter, fisherman",!sjjad,!sjjad
323,!maʃʃiw,analysisPluralTheme,cat,!maʃʃiw,!muʃʃ
324,msruj/aj,analysisPluralTheme,"skin abrasion, like a skinned knee",msruj/aj,msruj
325,ʁaras,analysisPluralTheme,path,ʁaras,ʁaras
326,gʷmar,analysisPluralTheme,horse (intended for breeding),gʷmar,gʷmar
327,isa,analysisPluralTheme,horse,isa,ajjis
328,!kitar,analysisPluralTheme,horse,!kitar,!kitar
330,ʁʒd,analysisPluralTheme,kid (small goat),ʁʒd,ʁʒd
331,bʒgi,analysisPluralTheme,"chichi, fuss",bʒgi,bʒgi
332,ijda,analysisPluralTheme,dog,ijda,ajdi
333,kzin,analysisPluralTheme,dog,kzin,kzin
334,!uskaj,analysisPluralTheme,dog,!uskaj,!uskaj
335,!ʃrwid,analysisPluralTheme,cloth,!ʃrwid,!ʃrwid
336,blbbaz,analysisPluralTheme,puppy,blbbaz,blbbuz
337,ʃlħij,analysisPluralTheme,speaker of Tashlhiyt,ʃlħij,ʃlħi
338,ʁawsiw,analysisPluralTheme,thing,ʁawsiw,ʁawsa
339,!rumi(j),analysisPluralTheme,Christian,!rumi(j),!rumi
342,gnwa,analysisPluralTheme,sky,gnwa,gnna
343,bllarʒ,analysisPluralTheme,stork,bllarʒ,bllarʒ
344,afat,analysisPluralTheme,"top (of tree, mountain)",afat,afa
345,!smdal,analysisPluralTheme,cemetery,!smdal,!smdl
346,χʷmasi(j),analysisPluralTheme,fifth,χʷmasi(j),χʷmasi
347,ħʒʒam,analysisPluralTheme,"circumciser, hairdresser",ħʒʒam,ħʒʒam
348,aχsaj,analysisPluralTheme,pumpkin,aχsaj,aχsaj
349,!msmar,analysisPluralTheme,nail,!msmar,!msmar
350,ulaw,analysisPluralTheme,heart,ulaw,ul
352,ʁʷmr(a),analysisPluralTheme,corner,ʁʷmr(a),ʁʷmmir
353,uqqut,analysisPluralTheme,coitus,uqqut,uqqu
354,uqqa,analysisPluralTheme,coitus,uqqa,
356,mqllq,analysisPluralTheme,someone who is choleric or anxious,mqllq,mqllq
358,zlag,analysisPluralTheme,braided wire necklace,zlag,zlag
359,ldij,analysisPluralTheme,plow draw collar,ldij,ldi
360,alat,analysisPluralTheme,hill,alat,ala
361,awrir,analysisPluralTheme,hill,awrir,awrir
362,malliw,analysisPluralTheme,dove,malliw,milla
363,ʃumaʃ,analysisPluralTheme,column,ʃumaʃ,ʃamuʃ
364,dχʷsa,analysisPluralTheme,colostrum,dχʷsa,dχʷs
366,mawal,analysisPluralTheme,"commentary, dictionary",mawal,mawal
367,smmun,analysisPluralTheme,companion,smmun,smmun
368,smun,analysisPluralTheme,companion,smun,smun
370,lħsabat,analysisPluralTheme,"account, calculation",lħsabat,lħsab
371,mglaj,analysisPluralTheme,conductor of beasts,mglaj,mglaj
373,baraz,analysisPluralTheme,showdown,baraz,baraz
374,siʁaʁ,analysisPluralTheme,conger (fish),siʁaʁ,siʁaʁ
377,!mʃiwir,analysisPluralTheme,"consultation, negotiation",!mʃiwir,!mʃiwr
378,uraw,analysisPluralTheme,contents of two clasped hands,uraw,uraw
379,slajmi,analysisPluralTheme,converted to Islam,slajmi,slajmi
380,mdraw,analysisPluralTheme,guest,mdraw,mdraw
381,sram,analysisPluralTheme,shavings,sram,sram
382,fullus,analysisPluralTheme,chicken / rooster,fullus,fullus
383,gajwar,analysisPluralTheme,raven,gajwar,gajwar
384,zakar,analysisPluralTheme,rope,zakar,zikr
385,dinan,analysisPluralTheme,chord (music),dinan,dinan
386,!gʷttas,analysisPluralTheme,thick rope,!gʷttas,!gttus
387,askiw,analysisPluralTheme,horn,askiw,isk
388,ʁzdis,analysisPluralTheme,rib,ʁzdis,ʁzdis
389,siwan,analysisPluralTheme,coast,siwan,sawn
390,!mggrad,analysisPluralTheme,"neck, neck",!mggrad,!mggrd
392,ʁgʷmma,analysisPluralTheme,corridor,ʁgʷmma,ʁgʷmmi
393,dasil,analysisPluralTheme,kick,dasil,dasil
394,abbaj,analysisPluralTheme,cut,abbaj,abbaj
395,sarag,analysisPluralTheme,"courtyard, patio",sarag,sarag
398,gzzujla,analysisPluralTheme,"person who is short, small",gzzujla,gzzajlu
399,dllal,analysisPluralTheme,broker,dllal,dllal
400,!smsar,analysisPluralTheme,broker,!smsar,!smsar
401,sksut,analysisPluralTheme,couscoussier,sksut,sksu
402,ajjaw,analysisPluralTheme,"Grandson or granddaughter (by extension cousin, nephew)",ajjaw,ajjaw
404,sdal,analysisPluralTheme,lid,sdal,sdl
405,srgʷal,analysisPluralTheme,lid,srgʷal,srgul
406,!frsad,analysisPluralTheme,blanket,!frsad,!frsad
407,ʕban,analysisPluralTheme,blanket,ʕban,ʕban
408,fugga,analysisPluralTheme,blanket,fugga,faggu
411,qaʃʃat,analysisPluralTheme,crest,qaʃʃat,qaʃʃa
414,!butztaz,analysisPluralTheme,one who cries disagreeably,!butztaz,!butztaz
416,brraħ,analysisPluralTheme,"town crier, Bellman",brraħ,brraħ
417,!nzad,analysisPluralTheme,horsehair,!nzad,!nzad
418,ftas,analysisPluralTheme,creek,ftas,ftas
419,ugla,analysisPluralTheme,fang,ugla,agl
420,kʷlb(a),analysisPluralTheme,wooden hook,kʷlb(a),kʷlib
422,mumn,analysisPluralTheme,believer,mumn,mumn
423,buqqal,analysisPluralTheme,"pitcher, jug",buqqal,buqqal
424,qnqʷam,analysisPluralTheme,bronze jug,qnqʷam,qnqum
425,nwal,analysisPluralTheme,kitchen,nwal,nwal
428,anas,analysisPluralTheme,copper (copper vessel),anas,anas
429,xnwa,analysisPluralTheme,"ass, rump",xnwa,χʷna
430,!sud(a),analysisPluralTheme,"ass, rump",!sud(a),!sud
431,gnunnaj,analysisPluralTheme,somersault,gnunnaj,gnunni
432,fllaħ,analysisPluralTheme,cultivator,fllaħ,fllaħ
434,!ʒndid,analysisPluralTheme,stinger,!ʒndid,!ʒndid
435,!ʒnʒid,analysisPluralTheme,stinger,!ʒnʒid,!ʒnʒid
436,sbbuqqas,analysisPluralTheme,stinger (insect),sbbuqqas,sbbaqqs
437,nggʷa,analysisPluralTheme,of same age masc.,nggʷa,nggu
438,nfsad,analysisPluralTheme,debauched person,nfsad,nfsad
439,ʃrrig,analysisPluralTheme,tear,ʃrrig,ʃrrig
440,χarra,analysisPluralTheme,tears,χarra,
443,mklaw,analysisPluralTheme,breakfast,mklaw,mkli
444,nwwaʃ,analysisPluralTheme,informer,nwwaʃ,nwwaʃ
445,rwwaj,analysisPluralTheme,padding,rwwaj,rwwaj
446,bʒwaj,analysisPluralTheme,delirium,bʒwaj,bʒwaj
450,uχsa,analysisPluralTheme,tooth,uχsa,aχʷs
455,!bdan,analysisPluralTheme,skin of animal,!bdan,!bdan
456,!gʷʒdad,analysisPluralTheme,"animal without tail, can be used figuratively to humans",!gʷʒdad,!gʷʒdad
457,nukaf,analysisPluralTheme,uprooted plant or herb,nukaf,nakuf
459,mggura,analysisPluralTheme,last,mggura,mggaru
461,kʷla,analysisPluralTheme,"drawings, illuminated manuscripts",kʷla,
462,mnid,analysisPluralTheme,before (lit. what is seen),mnid,mnid
465,uggug,analysisPluralTheme,dam,uggug,uggug
467,mnsaw,analysisPluralTheme,dinner,mnsaw,mnsi
468,unna,analysisPluralTheme,"statements, rumors",unna,
472,ʒlluba,analysisPluralTheme,jilbab,ʒlluba,ʒllabi
473,!dud(a),analysisPluralTheme,finger,!dud(a),!dad
475,!ʁrad,analysisPluralTheme,back,!ʁrad,!ʁrud
485,mslaχ,analysisPluralTheme,flayed,mslaχ,msluχ
486,sraj,analysisPluralTheme,scratch,sraj,sraj
489,sħssu,analysisPluralTheme,listening,sħssu,sħssu
492,arrat,analysisPluralTheme,written,arrat,arra
493,!brbur,analysisPluralTheme,scum,!brbur,!brbur
494,luffa,analysisPluralTheme,"froth, foam",luffa,luffi
495,!anzid,analysisPluralTheme,squirrel,!anzid,!anzid
496,frmaʃ,analysisPluralTheme,toothless (person),frmaʃ,frmaʃ
501,brraj,analysisPluralTheme,scratch,brraj,brraj
503,!mħdar,analysisPluralTheme,student,!mħdar,!mħdar
504,kssab,analysisPluralTheme,farmer,kssab,kssab
