output_row,input,source_column,gloss,plural_theme,singular_theme
1405,ʃttir,analysisPluralTheme,vagina,ʃttir,ʃttir
1406,sggʷj(a),analysisPluralTheme,"van, trash basket",sggʷj(a),sggʷi
1408,ginan,analysisPluralTheme,valve,ginan,ginan
1409,!mzwaj,analysisPluralTheme,winnower,!mzwaj,!mzwaj
1410,raggʷ,analysisPluralTheme,steam,raggʷ,rigg
1411,lʁʷrraf,analysisPluralTheme,drinking vessel,lʁʷrraf,lʁʷrraf
1412,ʁʷrraf,analysisPluralTheme,drinking vessel,ʁʷrraf,ʁʷrraf
1414,ʕllaʃ,analysisPluralTheme,veal,ʕllaʃ,ʕlluʃ
1417,ʒiwwa,analysisPluralTheme,strong wind,ʒiwwa,ʒiwwi
1418,!ħbbad,analysisPluralTheme,belly,!ħbbad,!ħbbud
1419,ħlg(a),analysisPluralTheme,belly,ħlg(a),ħlig
1420,buχχuj,analysisPluralTheme,worm,buχχuj,buχχu
1422,mʁil,analysisPluralTheme,penis,mʁil,mʁil
1423,!sllab,analysisPluralTheme,"rod, whip",!sllab,!sllab
1424,urt(a),analysisPluralTheme,orchard,urt(a),urti
1425,mudal,analysisPluralTheme,slope,mudal,madl
1426,zgzaw,analysisPluralTheme,green,zgzaw,zgzaw
1427,mlillaj,analysisPluralTheme,"dizziness, nausea",mlillaj,
1428,kuʃʃ(a),analysisPluralTheme,"vesse, flatulence",kuʃʃ(a),kuʃʃi
1429,adgal,analysisPluralTheme,widower,adgal,adgal
1430,aʁar,analysisPluralTheme,"meat, dried tripe",aʁar,
1431,ʁrsiw,analysisPluralTheme,"victim, sacrifice in a festival",ʁrsiw,ʁrsi
1433,fqqir,analysisPluralTheme,old person,fqqir,fqqir
1434,ʃiban,analysisPluralTheme,old person,ʃiban,ʃiban
1435,nbar,analysisPluralTheme,"old bachelor, spinster",nbar,nbur
1436,bnankiw,analysisPluralTheme,viper,bnankiw,bninka
1437,udmaw,analysisPluralTheme,face,udmaw,udm
1438,nrzaf,analysisPluralTheme,visitor,nrzaf,nrzif
1440,ʁʷnbar,analysisPluralTheme,veil,ʁʷnbar,ʁnbur
1441,!addʒar,analysisPluralTheme,neighbor,!addʒar,!addʒar
1444,ajlal,analysisPluralTheme,"volatile, bird",ajlal,ajlal
1445,mχχar,analysisPluralTheme,thief,mχχar,mχχar
1446,makr,analysisPluralTheme,thief,makr,mikr
1447,makar,analysisPluralTheme,thief,makar,makar
1448,!ʃffar,analysisPluralTheme,"thief, swindler",!ʃffar,!ʃffar
1450,nmudda,analysisPluralTheme,traveler,nmudda,nmaddu
1452,ʁʷrit,analysisPluralTheme,dinghy,ʁʷrit,ʁʷri
1453,ama,analysisPluralTheme,water,ama,
1454,damm,analysisPluralTheme,blood,damm,
1455,ltma,analysisPluralTheme,saliva,ltma,
1456,mkil,analysisPluralTheme,plate,mkil,mkil
1457,!fdniw,analysisPluralTheme,water boiler,!fdniw,!fdna
1458,ada,analysisPluralTheme,"intestines, viscera",ada,
1459,ʃiʃ,analysisPluralTheme,esparto cup,ʃiʃ,ʃiʃ
1460,ħkʷak,analysisPluralTheme,pancake,ħkʷak,ħkuk
1461,bri,analysisPluralTheme,buckwheat semolina,bri,
1465,urkim,analysisPluralTheme,mix of roasted and boiled grains,urkim,
1466,drna,analysisPluralTheme,donuts,drna,
1467,tifjji,analysisPluralTheme,meat,tifjji,
1468,argan,analysisPluralTheme,"argan (tree, oil)",argan,argan
1469,ur,analysisPluralTheme,lung,ur,ur
1470,iʁal,analysisPluralTheme,arm,iʁal,iʁil
1471,!inutfiw,analysisPluralTheme,water cistern,!inutfiw,!nutfi
1473,wrma,analysisPluralTheme,winnowing residues,wrma,
1474,!drf(a),analysisPluralTheme,furrow,!drf(a),!drf
1475,!dwwar,analysisPluralTheme,hamlet,!dwwar,!dwwar
1477,!zlmad,analysisPluralTheme,left,!zlmad,!zlmad
1478,!azzaj,analysisPluralTheme,"fine, penalty",!azzaj,
1479,!bifandi,analysisPluralTheme,forbidden thing,!bifandi,!bifandi
1481,!daribat,analysisPluralTheme,tax,!daribat,!dariba
1484,!ddjaf,analysisPluralTheme,guest,!ddjaf,!addif
1487,!garruwat,analysisPluralTheme,cigarettes,!garruwat,!garru
1489,!ndalab,analysisPluralTheme,beggars,!ndalab,!ndalab
1492,!lasqat,analysisPluralTheme,leftovers of a sacrificial animal,!lasqat,
1494,!laχbar,analysisPluralTheme,news,!laχbar,
1498,!lblajs,analysisPluralTheme,place,!lblajs,!lblas
1500,!lbzdam,analysisPluralTheme,purse,!lbzdam,!lbzdam
1503,!lgaraʒ(at),analysisPluralTheme,garage,!lgaraʒ(at),!lgaraʒ
1507,!lizarat,analysisPluralTheme,sheet,!lizarat,!lizar
1508,!lkaskrut(at),analysisPluralTheme,snack,!lkaskrut(at),!lkaskrut
1509,!lkwaʁd,analysisPluralTheme,marriage certificate,!lkwaʁd,!lkiʁd
1510,!lkrrusat,analysisPluralTheme,cart,!lkrrusat,!lkrrusa
1511,!lksajd,analysisPluralTheme,accident,!lksajd,!lksida
1514,!lmarkat,analysisPluralTheme,brand,!lmarkat,!lmarka
1516,!lmn(at/ti)ħ,analysisPluralTheme,dunce,!lmn(at/ti)ħ,!lmntiħ
1518,!lmr(a)ʒl,analysisPluralTheme,bucket,!lmr(a)ʒl,!lmrʒl
1519,!lms(a)χ(i/u)t,analysisPluralTheme,who obtains wrath of parents,!lms(a)χ(i/u)t,!lmsχut
1520,!lmsajb,analysisPluralTheme,disaster,!lmsajb,!lmusiba
1521,!lmzʁub(i),analysisPluralTheme,unthankful,!lmzʁub(i),!lmzʁub
1523,!lqud(at/ij),analysisPluralTheme,judge,!lqud(at/ij),!lqadi
1524,!lqadijat,analysisPluralTheme,affair,!lqadijat,!lqadija
1525,!lqsajr,analysisPluralTheme,a party,!lqsajr,!lqsar
1526,!lʁira,analysisPluralTheme,cave,!lʁira,!lʁar
1527,!lʁarajd,analysisPluralTheme,"business, purpose",!lʁarajd,!lʁarad
1528,!lutar(at),analysisPluralTheme,lute,!lutar(at),!lutar
1529,!ʒʒutijat,analysisPluralTheme,frippery,!ʒʒutijat,!lʒutij
1531,!lʕbrat,analysisPluralTheme,measure of seeds,!lʕbrat,!lʕbr
1534,!lʕrugat,analysisPluralTheme,sweat,!lʕrugat,!lʕrg
1535,!lχwatr,analysisPluralTheme,mind,!lχwatr,!lχatr
1536,!lχnudat,analysisPluralTheme,testicle,!lχnudat,
1537,!lχtijat,analysisPluralTheme,penalty,!lχtijat,!lχtij
1538,!lkb(a)b(u)t,analysisPluralTheme,coat,!lkb(a)b(u)t,!lkbbut
1542,!lansus,analysisPluralTheme,half,!lansus,!nss
1546,!rrami,analysisPluralTheme,male person,!rrami,!rrami
1551,!rrmman,analysisPluralTheme,pomegranate,!rrmman,!rrmman
1552,!rrubuʕ,analysisPluralTheme,quarter,!rrubuʕ,!rrubuʕ
1554,!larwaħ,analysisPluralTheme,soul,!larwaħ,!rruħ
1555,!larzaq,analysisPluralTheme,livelihood,!larzaq,!rrzq
1557,!sbaħ,analysisPluralTheme,morning,!sbaħ,!sbaħ
1558,!suldi,analysisPluralTheme,nothing,!suldi,!suldi
1559,!ssabi,analysisPluralTheme,"boy, girl",!ssabi,!ssabi
1560,!ssadaqat,analysisPluralTheme,charity,!ssadaqat,!ssadaqa
1561,!ʃʃwafr,analysisPluralTheme,driver,!ʃʃwafr,!ʃʃafur
1562,!ssb(a)b(a)t,analysisPluralTheme,shoes,!ssb(a)b(a)t,!ssbbat
1563,!ssgitat,analysisPluralTheme,meat carcass,!ssgitat,!ssgit
1565,!ʃʃjatn,analysisPluralTheme,Satan,!ʃʃjatn,!ʃʃitan
1566,!sskkar,analysisPluralTheme,sugar,!sskkar,!sskkar
1567,!sslatn,analysisPluralTheme,Sultan,!sslatn,!ssltan
1568,!ssnadq,analysisPluralTheme,a wooden box,!ssnadq,!ssnduq
1571,!ʃʃrud,analysisPluralTheme,condition (an if statement),!ʃʃrud,!ʃʃrd
1573,!lasswq,analysisPluralTheme,market,!lasswq,!ssuq
1575,!mubil,analysisPluralTheme,a car,!mubil,!mubil
1576,!rrbiʕ,analysisPluralTheme,box,!rrbiʕ,!rrbiʕ
1577,dur,analysisPluralTheme,offals,dur,
1578,umz,analysisPluralTheme,barley,umz,
1579,!rbʕij,analysisPluralTheme,measure,!rbʕij,!rbʕij
1581,!ttlba,analysisPluralTheme,master,!ttlba,!ttalb
1582,!ttwaʒ(in),analysisPluralTheme,tajine,!ttwaʒ(in),!ttaʒin
1583,!tbali,analysisPluralTheme,tray,!tbali,!tbla
1584,!tijarat,analysisPluralTheme,airplanes,!tijarat,!tijara
1585,!ttjur,analysisPluralTheme,a bird,!ttjur,!ttir
1592,!zzizwar(at),analysisPluralTheme,shaver,!zzizwar(at),!zzizwar
1593,!izʕd(a)d,analysisPluralTheme,monkey,!izʕd(a)d,!zʕdud
1594,!qqndar,analysisPluralTheme,quintal,!qqndar,!qqndar
1595,!tbs(a/i)l,analysisPluralTheme,dish,!tbs(a/i)l,!tbsil
1596,!zalim,analysisPluralTheme,onion,!zalim,!zalim
1597,brran(i),analysisPluralTheme,foreigner,brran(i),brrani
1598,brʒwazi(j),analysisPluralTheme,Bourgeois,brʒwazi(j),brʒwazi
1599,adis,analysisPluralTheme,stomach,adis,adis
1600,fasi(j),analysisPluralTheme,from Fes,fasi(j),fasi
1602,aggag,analysisPluralTheme,thunder,aggag,
1605,ħttab,analysisPluralTheme,woodcutter,ħttab,ħttab
1606,ħwaʃ,analysisPluralTheme,festive round,ħwaʃ,ħwaʃ
1607,ajtma,analysisPluralTheme,"brother, sister",ajtma,gʷma
1608,mrrakʃi(j),analysisPluralTheme,Marrakchi,mrrakʃi(j),mrrakʃi
1609,mttʃut,analysisPluralTheme,food,mttʃut,mttʃu
1611,nʃajwi(j),analysisPluralTheme,canabis smoker,nʃajwi(j),nʃajwi
1612,aqqd,analysisPluralTheme,embers,aqqd,
1613,ʁanim,analysisPluralTheme,reed,ʁanim,ʁanim
1614,ʃfnaʒ,analysisPluralTheme,"beignet maker, seller",ʃfnaʒ,ʃfnaʒ
1615,ʃfnaʒi(j),analysisPluralTheme,Manufacturer of beignet,ʃfnaʒi(j),ʃfnaʒi
1617,sʕdi(j),analysisPluralTheme,lucky person,sʕdi(j),sʕdi
1618,wttut,analysisPluralTheme,plot,wttut,wttu
1619,χmmas,analysisPluralTheme,sharecropper,χmmas,χmmas
1620,χrraz,analysisPluralTheme,shoemaker,χrraz,χrraz
1621,baba,analysisPluralTheme,father,baba,baba
1622,bba,analysisPluralTheme,father,bba,bba
1624,bnadmat,analysisPluralTheme,human being,bnadmat,bnadm
1625,bulhmum,analysisPluralTheme,"careworn person, worrier",bulhmum,bulhmum
1627,ddhubat,analysisPluralTheme,gold,ddhubat,ddhb
1628,ddibbujat,analysisPluralTheme,depot,ddibbujat,ddibbu
1631,ddnub,analysisPluralTheme,a sin,ddnub,ddnb
1632,ddrari,analysisPluralTheme,"child, children",ddrari,ddri
1633,ddr(a/i)wʃ,analysisPluralTheme,gentle or poor person,ddr(a/i)wʃ,ddriwʃ
1637,ladwija,analysisPluralTheme,medication,ladwija,ddwa
1638,frankat,analysisPluralTheme,Franc,frankat,frank
1641,drbal,analysisPluralTheme, used clothings,drbal,drbal
1643,gdmiw,analysisPluralTheme,guests,gdmiw,gdmi
1644,isti,analysisPluralTheme,"daughter, son",isti,iwi
1645,malass,analysisPluralTheme,week,malass,malass
1646,mass,analysisPluralTheme,plowshares,mass,
1649,rd,analysisPluralTheme,wheat,rd,
1650,ʃkkam,analysisPluralTheme,informer,ʃkkam,ʃkkam
1651,bri,analysisPluralTheme,couscous,bri,
1652,kilu,analysisPluralTheme,kilogram,kilu,kilu
1653,lmakant,analysisPluralTheme,place,lmakant,lmakan
1655,laħkam,analysisPluralTheme,judgements,laħkam,lħkam
1657,laminat,analysisPluralTheme,representative of craftsmen,laminat,lamin
1658,lantritat,analysisPluralTheme,retirement,lantritat,lantrit
1659,lawamir,analysisPluralTheme,order,lawamir,lamr
1660,lawlij(a),analysisPluralTheme,saints,lawlij(a),lwali
1661,lbiba(n),analysisPluralTheme,door,lbiba(n),lbab
1662,lbakijat,analysisPluralTheme,packet,lbakijat,lbaki
1664,lbaʃawat,analysisPluralTheme,"Pacha, government employee, regional",lbaʃawat,lbaʃa
1665,lbbʷant,analysisPluralTheme,butts,lbbʷant,lbbun
1666,lbhajim,analysisPluralTheme,beast,lbhajim,lbhim
1667,lbħur,analysisPluralTheme,sea,lbħur,lbħr
1668,lbirujat,analysisPluralTheme,headquarters of the authorities,lbirujat,lbiru
1669,lbjut,analysisPluralTheme,room,lbjut,lbit
1672,lbunjat,analysisPluralTheme,fist,lbunjat,lbunja
1673,buʒadi(j),analysisPluralTheme,"provincial person, naive",buʒadi(j),buʒadi
1677,lfqqha,analysisPluralTheme,master,lfqqha,lfqqih
1678,lafraħ,analysisPluralTheme,festivity,lafraħ,lfrħ
1680,lgnbrijat,analysisPluralTheme,sort of traditional lute,lgnbrijat,lgnbri
1681,lgrgaʕ,analysisPluralTheme,nut,lgrgaʕ,lgrgaʕ
1682,lgr(u)ʃ,analysisPluralTheme,old silver coin; currency/jewel,lgr(u)ʃ,lgrʃ
1683,laħwal,analysisPluralTheme,"time, state",laħwal,lħal
1685,lħaqajq,analysisPluralTheme,truth,lħaqajq,lħaqiqa
1686,laħquq,analysisPluralTheme,law,laħquq,lħaqq
1687,lħʒʒ(aʒ),analysisPluralTheme,pilgrim,lħʒʒ(aʒ),lħaʒʒ
1689,lħbusat,analysisPluralTheme,jail,lħbusat,lħbs
1690,lhdijat,analysisPluralTheme,gifts,lhdijat,lhdij
1691,lħilat,analysisPluralTheme,"cunningness, cleverness",lħilat,lħil
1692,lhwajʃ,analysisPluralTheme,beast,lhwajʃ,lhiʃ
1695,lħkmat,analysisPluralTheme,wisdom,lħkmat,lħkma
1696,lħlaqi,analysisPluralTheme,round theater,lħlaqi,lħlqa
1697,lħlalf,analysisPluralTheme,bear,lħlalf,lħlluf
1699,lħmmam(at),analysisPluralTheme,bath,lħmmam(at),lħmmam
1702,lhrawat,analysisPluralTheme,bludgeon,lhrawat,lhrawa
1703,laħruf,analysisPluralTheme,letter,laħruf,lħrf
1704,lahrja,analysisPluralTheme,shop,lahrja,lhri
1705,lħrakat,analysisPluralTheme,movement,lħrakat,lħrkt
1706,lħwajʒ,analysisPluralTheme,clothes,lħwajʒ,lħaʒ
1710,lkurama,analysisPluralTheme,generous person,lkurama,lkarim
1711,lkisa(n),analysisPluralTheme,cup,lkisa(n),lkas
1712,lkrars,analysisPluralTheme,carts,lkrars,!lkrrusa
1713,!llkrrusat,analysisPluralTheme,carts,!llkrrusat,!llkrrusa
1715,lksut,analysisPluralTheme,cloth,lksut,lksut
1716,lktatn,analysisPluralTheme,tissue,lktatn,lkttan
1717,lkʷras(a/ij),analysisPluralTheme,chair,lkʷras(a/ij),lkʷrsi
1719,llitʃin,analysisPluralTheme,orange,llitʃin,llitʃin
1720,lkumisir(at),analysisPluralTheme,police commissioner,lkumisir(at),lkumisir
1721,lmʒurra,analysisPluralTheme,drawer,lmʒurra,lmʒrr
1722,lqhawi,analysisPluralTheme,coffee,lqhawi,lqhwa
1725,lmaħal(at),analysisPluralTheme,location,lmaħal(at),lmaħal
1727,lmalajka,analysisPluralTheme,angels,lmalajka,
1729,lmasajl,analysisPluralTheme,problem,lmasajl,lmasala
1731,lmdun,analysisPluralTheme,city,lmdun,lmdin
1734,lmlakat,analysisPluralTheme,real estate,lmlakat,
1736,lmllaħat,analysisPluralTheme,l-mllaħ,lmllaħat,lmllaħ
1737,lmnajn,analysisPluralTheme,millions,lmnajn,mljun
1738,lmqddmi,analysisPluralTheme,chief,lmqddmi,lmqddm
1739,lmqqttʕi,analysisPluralTheme,miserable person,lmqqttʕi,lmqqttʕ
1740,lmsakn,analysisPluralTheme,poor person,lmsakn,lmskin
1741,lmʃmaʃ,analysisPluralTheme,apricot,lmʃmaʃ,lmʃmaʃ
1743,lmuddni,analysisPluralTheme,muezzin,lmuddni,lmuddn
1745,lmufallis(i),analysisPluralTheme,loser,lmufallis(i),lmufallis
1746,lmuħsin(i),analysisPluralTheme,beneficents,lmuħsin(i),lmuħsin
1749,lmwass,analysisPluralTheme,knife,lmwass,lmuss
1750,lmʒrtli,analysisPluralTheme,vagabond,lmʒrtli,lmʒrtl
1751,lmʕlm(i),analysisPluralTheme,professional person,lmʕlm(i),lmʕlm
1753,lmχaznija,analysisPluralTheme,guardians of peace,lmχaznija,
1756,qhwi(j),analysisPluralTheme,coffee,qhwi(j),qhwi
1757,ʃibi(j),analysisPluralTheme,blue sky,ʃibi(j),ʃibi
1758,smawi(j),analysisPluralTheme,blue sky,smawi(j),smawi
1760,lqn(a)dil,analysisPluralTheme,torch,lqn(a)dil,lqndil
1761,lqujad,analysisPluralTheme,mayor,lqujad,lqajd
1762,qhwaʒi(j),analysisPluralTheme,cafe owner,qhwaʒi(j),qhwaʒi
1764,lqsabi,analysisPluralTheme,casbah,lqsabi,lqsb
1765,laqsur,analysisPluralTheme,palace,laqsur,lqsr
1766,lʁabat,analysisPluralTheme,a forest,lʁabat,lʁaba
1771,luqid,analysisPluralTheme,matches,luqid,luqid
1772,lawqat,analysisPluralTheme,time,lawqat,luq
1774,luzinat,analysisPluralTheme,factories,luzinat,luzin
1775,luzara,analysisPluralTheme,minister,luzara,luzir
1776,lwalidaj,analysisPluralTheme,parents,lwalidaj,lwalid
1779,lʒwajh,analysisPluralTheme,region,lʒwajh,lʒiht
1782,lʒwad,analysisPluralTheme,generous persons,lʒwad,
1783,laʕadad,analysisPluralTheme,number,laʕadad,lʕadad
1785,lʕuqul,analysisPluralTheme,brain,lʕuqul,lʕaql
1787,lʕaʒajb,analysisPluralTheme,oddities,lʕaʒajb,lʕaʒab
1788,lʕdul,analysisPluralTheme,notary,lʕdul,lʕadl
1789,lʕafarit,analysisPluralTheme,devil,lʕafarit,lʕfrit
1790,laʕjub,analysisPluralTheme,default,laʕjub,lʕib
1791,lʕibadat,analysisPluralTheme,worship,lʕibadat,lʕibada
1792,laʕjad,analysisPluralTheme,holiday,laʕjad,lʕid
1796,lχ(w)atm,analysisPluralTheme,ring,lχ(w)atm,lχatm
1797,lχwatr,analysisPluralTheme,mind,lχwatr,lχatr
1799,lχlawat,analysisPluralTheme,outside,lχlawat,lχla
1800,lχalajq,analysisPluralTheme,creature,lχalajq,lχlq
1801,lχnaʃi,analysisPluralTheme,sack,lχnaʃi,lχnʃt
1803,lχumusat,analysisPluralTheme,a fifth,lχumusat,lχumus
1804,lχuχ,analysisPluralTheme,peach fruit,lχuχ,lχuχ
1806,midd,analysisPluralTheme,people,midd,
1808,lanbija,analysisPluralTheme,prophet,lanbija,nnbi
1812,nnmari,analysisPluralTheme,number,nnmari,nnmra
1815,nnʕmat,analysisPluralTheme,graces,nnʕmat,nnʕmt
1817,rrjadat,analysisPluralTheme,big house,rrjadat,rrjad
1818,rrwajn,analysisPluralTheme,disorder,rrwajn,rrwina
1821,sidi,analysisPluralTheme,"lord, saint",sidi,sidi
1823,ssadat,analysisPluralTheme,"saints, marabout",ssadat,ssijid
1826,ssbasa,analysisPluralTheme,pipe,ssbasa,ssbsi
1827,ʃʃfnʒ,analysisPluralTheme,beignet,ʃʃfnʒ,ʃʃfnʒ
1828,ʃʃhur,analysisPluralTheme,month,ʃʃhur,ʃʃhr
1829,lasbab,analysisPluralTheme,reason,lasbab,ssibab
1837,ʃʃqufa,analysisPluralTheme,pipe,ʃʃqufa,ʃʃqf
1843,ssrawl,analysisPluralTheme,slacks,ssrawl,ssrwal
1844,!ʃʃwant,analysisPluralTheme,roads,!ʃʃwant,!ʃʃanti
1846,brat,analysisPluralTheme,letter,brat,brat
1851,kuʒʒar,analysisPluralTheme,without arm,kuʒʒar,kuʒʒar
1852,lluz,analysisPluralTheme,almond,lluz,lluz
1853,llwiz,analysisPluralTheme,gold pieces,llwiz,llwiz
1854,qbil,analysisPluralTheme,tribe,qbil,qbil
1855,qqsraj,analysisPluralTheme,large deep dish,qqsraj,qqsri
1856,arig,analysisPluralTheme,saddle,arig,arig
1858,ʃddad,analysisPluralTheme,headband,ʃddad,ʃddad
1860,ʃʃmʕ,analysisPluralTheme,candle,ʃʃmʕ,ʃʃmʕ
1861,!ssnnar,analysisPluralTheme,hook,!ssnnar,!ssnnar
1862,ttffaħ,analysisPluralTheme,apple,ttffaħ,ttffaħ
1864,wriq,analysisPluralTheme,paper,wriq,wriq
1871,mzgadiw,analysisPluralTheme,mosque,mzgadiw,mzgida
1872,zzbub,analysisPluralTheme,fruit,zzbub,zbibi
1875,tsmijat,analysisPluralTheme,name,tsmijat,tsmi
1878,taksijat,analysisPluralTheme,taxi,taksijat,taksi
1880,ttawariχ,analysisPluralTheme,date,ttawariχ,ttariχ
1882,ttuʒʒar,analysisPluralTheme,trader,ttuʒʒar,ttaʒr
1886,usma,analysisPluralTheme,lightning,usma,
1887,zznnaq,analysisPluralTheme,street,zznnaq,zznniq
1888,bariq,analysisPluralTheme,slap,bariq,bariq
1890,ʕisawi(j),analysisPluralTheme,"religious brotherhood, which called Aïssaoua ",ʕisawi(j),ʕisawi
1891,zzjuf,analysisPluralTheme,a scarf,zzjuf,zzif
1894,zzitun,analysisPluralTheme,olive tree,zzitun,zzitun
1896,zzradi,analysisPluralTheme,Feast,zzradi,zzrda
1898,ʒbbanij,analysisPluralTheme,a bowl,ʒbbanij,ʒbbani
1900,lʕima,analysisPluralTheme,two years,lʕima,lʕam
1901,ʕmmi,analysisPluralTheme,uncle or aunt paternal,ʕmmi,ʕmmi
1902,χali,analysisPluralTheme,"uncle and aunt, mother's side",χali,χali
1903,!skarraj,analysisPluralTheme,buzzer fish,!skarraj,!skarraj
1904,zllmzat,analysisPluralTheme,croaker,zllmzat,zllmza
1905,bijsni,analysisPluralTheme,sea ​​bream,bijsni,bijsni
1906,buʃawk,analysisPluralTheme,seabass,buʃawk,buʃawk
1907,wlaħ,analysisPluralTheme,leerfish,wlaħ,wlaħ
1908,sargal,analysisPluralTheme,bluefish,sargal,sargal
1909,zggʷaʁ,analysisPluralTheme,rooster fish,zggʷaʁ,zggʷaʁ
1910,sliχ,analysisPluralTheme,sole,sliχ,sliχ
1911,mrmd,analysisPluralTheme,squid,mrmd,mrmd
1912,ʕli!jʒʒan,analysisPluralTheme,ballista,ʕli!jʒʒan,ʕli!jʒʒan
1913,ssgna,analysisPluralTheme,Orphie,ssgna,ssgni
1914,knjaw,analysisPluralTheme,variety of seabream,knjaw,knjaw
