recordID,0
7,Ablaut
47,Medial A
48,Medial A
51,Ablaut
56,Ablaut
64,Ablaut
66,Ablaut
68,Ablaut + Medial A
79,Ablaut
84,Medial A
92,Ablaut
99,Ablaut
115,Medial A
121,Insert C
129,Medial A
130,Final A
140,Medial A
147,Medial A
150,Ablaut
154,Ablaut + Medial A
159,Medial A
160,Final Vw
166,Ablaut
169,Templatic
173,Ablaut + Medial A
182,Ablaut
192,Ablaut
206,Ablaut
211,Ablaut
213,Ablaut
215,Medial A
219,Ablaut
231,Ablaut
235,Medial A
243,Final Vw
244,Ablaut
247,Ablaut
248,Ablaut
250,Insert C
251,Insert C
255,Medial A
268,Ablaut
275,Ablaut + Medial A
282,Ablaut
283,Final A
285,Medial A
290,Ablaut
293,Medial A
297,Final A
299,Insert C
304,Final Vw
305,Ablaut
306,Final A
307,Final A
313,Ablaut
318,Final A
323,Insert C
325,Ablaut
328,Insert C
332,Ablaut
333,Ablaut
339,Ablaut
345,Final A
346,Ablaut
351,Ablaut
352,Final Vw
360,Final A
367,Final Vw
369,Final A
371,Ablaut + Medial A
380,Ablaut
384,Ablaut
385,Ablaut + Medial A
386,Medial A
388,Insert C
389,Insert C
390,Ablaut
392,Medial A
397,Ablaut
398,Final A
400,Final A
401,Medial A
403,Ablaut + Medial A
406,Ablaut
408,Insert C
411,Medial A
412,Ablaut
419,Final Vw
420,Ablaut
424,Final A
430,Ablaut
436,Ablaut
444,Insert C
445,Medial A
454,Final Vw
459,Final A
460,Insert C
470,Insert C
472,Ablaut
473,Ablaut
475,Final A
496,Templatic
505,Ablaut + Medial A
507,Ablaut
509,Final Vw
511,Ablaut + Medial A
512,Medial A
517,Ablaut
528,Ablaut
531,Insert C
535,Medial A
536,Ablaut
539,Ablaut
544,Insert C
556,Ablaut + Final A
557,Final A
562,Ablaut
570,Final A
571,Medial A
581,Ablaut + Medial A
583,Ablaut
608,Ablaut + Final A
620,Ablaut
623,Ablaut
642,Ablaut
643,Ablaut + Final A
650,Ablaut
664,Ablaut
680,Ablaut
707,Ablaut
711,Ablaut
715,Ablaut
716,Final A
717,Final A
720,Ablaut
722,Ablaut
755,Final Vw
765,Medial A
768,Templatic
773,Final A
778,Insert C
780,Ablaut
795,Ablaut
934,Ablaut
969,Final A
970,Ablaut + Medial A
971,Ablaut
975,Final A
988,Ablaut
989,Medial A
992,Ablaut
998,Ablaut
1010,Ablaut
1012,Final A
1015,Ablaut
1019,Ablaut
1021,Final A
1024,Final A
1027,Ablaut
1028,Ablaut + Medial A
1029,Medial A
1030,Ablaut + Medial A
1031,Ablaut + Medial A
1035,Ablaut
1041,Ablaut
1044,Final A
1046,Final A
1049,Insert C
1053,Ablaut
1059,Final A
1060,Final A
1062,Medial A
1068,Final A
1079,Medial A
1082,Suppletion
1084,Ablaut
1086,Medial A
1088,Ablaut
1096,Insert C
1099,Ablaut
1100,Ablaut
1108,Ablaut
1110,Ablaut
1117,Ablaut
1120,Ablaut
1121,Ablaut
1122,Insert C
1123,Ablaut
1125,Insert C
1126,Insert C
1130,Ablaut
1131,Ablaut
1136,Ablaut
1139,Insert C
1140,Insert C
1142,Medial A
1146,Medial A
1147,Ablaut
1150,Insert C
1153,Ablaut
1154,Ablaut
1156,Final A
1163,Ablaut
1164,Ablaut + Medial A
1167,Ablaut + Medial A
1176,Ablaut
1177,Ablaut
1179,Ablaut
1190,Ablaut
1191,Final Vw
1192,Ablaut
1196,Ablaut
1201,Medial A
1207,Ablaut
1213,Ablaut
1231,Ablaut
1232,Ablaut + Final A
1233,Ablaut
1234,Ablaut
1241,Ablaut
1248,Ablaut + Medial A
1249,Final Vw
1257,Insert C
1258,Medial A
1264,Insert C
1265,Final A
1270,Medial A
1273,Ablaut + Medial A
1274,Final A
1275,Final Vw
1280,Ablaut
1281,Ablaut
1285,Ablaut + Medial A
1286,Medial A
1297,Ablaut
1303,Ablaut
1305,Ablaut
1306,Ablaut
1308,Ablaut
1311,Ablaut
1315,Ablaut + Final A
1317,Ablaut
1321,Medial A
1326,Medial A
1334,Ablaut
1340,Ablaut
1355,Medial A
1357,Medial A
1368,Ablaut
1382,Ablaut + Final A
1387,Ablaut
1388,Suppletion
1403,Ablaut
1407,Ablaut
1409,Ablaut
1411,Final A
1412,Ablaut
1413,Ablaut
1418,Ablaut
1423,Final A
1425,Ablaut
1429,Ablaut
1432,Final A
1433,Ablaut
1434,Ablaut
1435,Medial A
1443,Ablaut
1449,Suppletion
1454,Final A
1462,Final Vw
1465,Ablaut + Final A
1473,Ablaut
1474,Ablaut
1475,Ablaut
1476,Ablaut
1477,Ablaut + Final A
1478,Ablaut
1479,Ablaut
1486,Final Vw
1488,Final A
1494,Ablaut
1495,Ablaut
1497,Ablaut + Medial A
1499,Ablaut
1502,Final Vw
1504,Ablaut
1505,Ablaut
1509,Ablaut
1510,Final A
1516,Insert C
1517,Ablaut
1520,Ablaut
1528,Ablaut
1530,Medial A
1540,Final Vw
1553,Medial A
1554,Final Vw
1556,Ablaut
1557,Final Vw
1560,Ablaut
1561,Final Vw
1571,Final Vw
1573,Ablaut
1574,Insert C
1575,Ablaut
1581,Ablaut
1582,Final A
1585,Ablaut
1587,Medial A
1592,Ablaut
1593,Insert C
1602,Ablaut
1603,Ablaut + Final A
1604,Medial A
1605,Final A
1611,Ablaut + Final A
1612,Ablaut + Medial A
1613,Ablaut
1617,Ablaut
1621,Ablaut
1624,Ablaut
1637,Ablaut
1638,Medial A
1640,Ablaut
1645,Ablaut
1647,Templatic
1648,Insert C
1649,Ablaut
1655,Ablaut + Medial A
1656,Final A
1657,Medial A
1660,Ablaut
1662,Ablaut + Final A
1673,Final A
1675,Final A
1678,Ablaut + Medial A
1684,Ablaut
1687,Ablaut
1688,Ablaut
1689,Ablaut
1696,Ablaut
1700,Ablaut
1704,Final A
1714,Medial A
1717,Ablaut
1721,Ablaut
1727,Ablaut
1730,Insert C
1734,Medial A
1738,Final A
1739,Final A
1749,Ablaut
1751,Medial A
1753,Ablaut
1754,Medial A
1756,Final A
1777,Medial A
1778,Ablaut
1782,Medial A
1783,Ablaut
1794,Ablaut
1802,Ablaut
1810,Final A
1812,Insert C
1825,Medial A
1830,Medial A
1832,Medial A
1836,Ablaut
1838,Medial A
1841,Final A
1848,Ablaut
1849,Ablaut
1851,Medial A
1857,Final Vw
1863,Medial A
1879,Ablaut
1881,Ablaut
1882,Final Vw
1932,Insert C
1946,Final A
1949,Ablaut
1950,Ablaut
1952,Medial A
1954,Medial A
1956,Ablaut
1965,Ablaut
1975,Ablaut
1976,Ablaut + Medial A
1985,Ablaut + Final A
1987,Ablaut
1989,Ablaut
2003,Ablaut
2007,Templatic
2016,Ablaut + Final A
2017,Final A
2023,Medial A
2024,Medial A
2025,Ablaut
2027,Ablaut
2028,Ablaut
2029,Templatic
2036,Ablaut
2037,Ablaut
2041,Ablaut
2042,Final Vw
2045,Medial A
2047,Final Vw
2048,Ablaut
2051,Templatic
2055,Ablaut
2062,Ablaut
2067,Final A
2101,Templatic
2114,Ablaut
2118,Ablaut
2122,Ablaut + Medial A
2126,Ablaut
2127,Ablaut
2128,Ablaut
2134,Ablaut
2135,Ablaut
2139,Ablaut
2140,Ablaut
2141,Insert C
2145,Medial A
2147,Final A
2157,Ablaut
2161,Ablaut
2168,Ablaut
2169,Ablaut
2170,Final A
2175,Ablaut
2176,Ablaut + Medial A
2180,Ablaut
2191,Ablaut
2193,Final Vw
2195,Ablaut
2197,Ablaut
2209,Ablaut
2216,Ablaut
2218,Insert C
2226,Ablaut
2236,Ablaut
2250,Final A
2260,Templatic
2274,Templatic
2276,Templatic
2286,Templatic
2288,Templatic
2293,Templatic
2295,Templatic
2296,Templatic
2297,Templatic
2300,Templatic
2302,Templatic
2303,Templatic
2304,Templatic
2311,Templatic
2312,Templatic
2315,Templatic
2319,Templatic
2331,Templatic
2332,Templatic
2338,Templatic
2339,Templatic
2342,Templatic
2344,Templatic
2345,Templatic
2348,Templatic
2350,Templatic
2358,Templatic
2359,Templatic
2360,Ablaut + Medial A
2362,Templatic
2371,Ablaut
2374,Ablaut
2387,Suppletion
2390,Insert C
2399,Insert C
2409,Templatic
2413,Templatic
2414,Templatic
2415,Ablaut
2419,Templatic
2428,Suppletion
2440,Templatic
2444,Templatic
2445,Templatic
2446,Ablaut + Final A
2450,Ablaut
2451,Templatic
2452,Templatic
2454,Templatic
2462,Final A
2463,Templatic
2467,Templatic
2469,Templatic
2472,Templatic
2473,Templatic
2474,Templatic
2476,Templatic
2479,Templatic
2483,Templatic
2484,Templatic
2490,Templatic
2491,Final A
2492,Templatic
2493,Templatic
2497,Templatic
2498,Final Vw
2499,Templatic
2704,Insert C
2502,Templatic
2503,Templatic
2507,Templatic
2508,Templatic
2516,Templatic
2518,Ablaut
2524,Templatic
2527,Templatic
2536,Templatic
2547,Templatic
2548,Templatic
2551,Templatic
2552,Templatic
2559,Templatic
2562,Templatic
2563,Final Vw
2566,Templatic
2570,Templatic
2572,Templatic
2574,Templatic
2575,Templatic
2576,Templatic
2577,Templatic
2579,Templatic
2583,Templatic
2584,Templatic
2587,Templatic
2588,Templatic
2595,Templatic
2599,Ablaut + Medial A
2602,Templatic
2605,Templatic
2610,Templatic
2613,Ablaut + Medial A
2615,Templatic
2616,Templatic
2624,Templatic
2630,Templatic
2631,Templatic
2642,Medial A
2658,Ablaut
2659,Templatic
2667,Templatic
2669,Templatic
2674,Ablaut
2678,Templatic
2683,Ablaut + Medial A
2687,Templatic
2691,Insert C
2700,Ablaut
